"Date","ZCTA5CE10","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-04-30,"12123","NY","Albany","Rensselaer","Town of Nassau",11982,1397,0.00431344356578001,-0.012022630834512,-0.0230769230769231,1521
2015-04-30,"98245","WA",,"San Juan","Eastsound",11983,1571,0.015513897866839,0.0281413612565445,0.070892978868439,1326
2015-04-30,"83660","ID","Boise City","Canyon","Parma",11984,888,-0.00112485939257593,0.00225733634311512,0.0869033047735618,1337
2015-04-30,"17569","PA","Lancaster","Lancaster","West Cocalico Township",11985,1067,-0.0211009174311927,-0.03613369467028,-0.0599118942731277,1770
2015-04-30,"72631","AR","Fayetteville","Benton","Bella Vista",11986,1175,0.0111876075731497,0.000851788756388416,0.00427350427350427,1271
2015-04-30,"61016","IL","Rockford","Winnebago","Cherry Valley",11987,1285,-0.0100154083204931,0.000778816199376947,0.028,1739
2015-04-30,"97458","OR","Coos Bay","Coos","Myrtle Point",11988,924,0.0187431091510474,0.00434782608695652,0.0845070422535211,1172
2015-04-30,"47243","IN","Madison","Jefferson","Hanover",11989,921,0.00655737704918033,0.0165562913907285,-0.0107411385606874,1467
2015-04-30,"22923","VA","Charlottesville","Greene","Barboursville",11990,1430,0.015625,0.0287769784172662,-0.00139664804469274,1516
2015-04-30,"62615","IL","Springfield","Sangamon","Auburn",11991,1024,0.0448979591836735,0.0513347022587269,-0.105676855895197,1648
2015-04-30,"37022","TN","Nashville","Sumner","Bethpage",11992,1029,-0.015311004784689,0.0259222333000997,0.0320962888665998,2400
2015-04-30,"35739","AL","Huntsville","Madison","Ardmore",11993,998,-0.002997002997003,-0.0109018830525273,-0.0431447746883989,591
2015-04-30,"43731","OH",,"Perry","Crooksville",11994,747,0.00403225806451613,-0.00928381962864721,-0.0196850393700787,575
2015-04-30,"70591","LA","Jennings","Jefferson Davis","Welsh",11995,1294,-0.00994644223412395,-0.005380476556495,0.00387897595034911,1031
2015-04-30,"70710","LA","Baton Rouge","West Baton Rouge","Addis",11996,1451,0.00554400554400554,0.00624133148404993,0.0104456824512535,612
2015-04-30,"75656","TX",,"Cass","Hughes Springs",11997,1145,-0.0146299483648881,-0.0394295302013423,-0.0599343185550082,1198
2015-04-30,"28636","NC","Hickory","Alexander","Hiddenite",11998,1065,0.0075685903500473,0.0260115606936416,0.0410557184750733,1072
2015-04-30,"14572","NY","Corning","Steuben","Town of Wayland",11999,1403,-0.00777934936350778,-0.0324137931034483,-0.00848056537102473,1152
2015-04-30,"78390","TX","Corpus Christi","San Patricio","Taft",12000,1098,0.00919117647058824,0.00549450549450549,0.0457142857142857,1907
2015-04-30,"30739","GA","Chattanooga","Walker","Rock Spring",12001,1077,0.0103189493433396,0.0296367112810707,0.0237642585551331,1570
2015-04-30,"55037","MN",,"Pine","Hinckley",12002,1139,-0.00437062937062937,-0.0164075993091537,-0.0273270708795901,1975
2015-04-30,"08049","NJ","Philadelphia","Camden","Magnolia",12003,1518,0.00264200792602378,0.0284552845528455,0.0468965517241379,1798
2015-04-30,"17053","PA","Harrisburg","Perry","Marysville",12004,1236,-0.00483091787439614,0.00815660685154975,0.00980392156862745,1639
2015-04-30,"43610","OH","Toledo","Lucas","Toledo",12005,714,-0.00970873786407767,-0.00279329608938547,0.0625,1750
2015-04-30,"98257","WA","Mount Vernon","Skagit","La Conner",12006,1374,0.0102941176470588,0.0170244263508512,0.0520673813169985,1877
2015-04-30,"84765","UT","St. George","Washington","Santa Clara",12007,1430,-0.00969529085872576,-0.0151515151515152,0.00846262341325811,1850
2015-04-30,"13637","NY","Watertown","Jefferson","Le Ray",12008,1390,-0.0113798008534851,-0.0498974709501025,-0.00572246065808297,551
2015-04-30,"72529","AR",,"Sharp","Cherokee Village",12009,709,0.0085348506401138,-0.0193637621023513,-0.0875160875160875,1219
2015-04-30,"20115","VA","Washington","Fauquier","Marshall",12010,1766,-0.00563063063063063,-0.0188888888888889,-0.0611376927166401,2106
2015-04-30,"12885","NY","Glens Falls","Warren","Town of Warrensburg",12011,1634,-0.0138805069402535,-0.0422039859320047,-0.0359882005899705,1472
2015-04-30,"71943","AR",,"Pike","Glenwood",12012,886,0.0278422273781903,0.0831295843520782,0.0818070818070818,788
2015-04-30,"45628","OH","Chillicothe","Ross","Frankfort",12013,954,-0.00104712041884817,0.0203208556149733,0.0324675324675325,1002
2015-04-30,"32735","FL","Orlando","Lake","Grand Island",12014,1216,-0.00246103363412633,-0.00977198697068404,0.0366581415174766,1249
2015-04-30,"43344","OH","Columbus","Union","Richwood",12015,1012,0.00496524329692155,0.013013013013013,0.0652631578947368,1687
2015-04-30,"03470","NH","Keene","Cheshire","Town of Winchester",12016,1242,-0.0197316495659037,-0.0342146189735614,-0.0394431554524362,1048
